,date,lat,lon,temperature
0,1950-01-01 00:00:00+00:00,13.574655303000156,-16.42736200099992,23.578444
0,1950-01-01 00:00:00+00:00,13.184655303000165,-16.39736200099992,22.638115
0,1950-01-01 00:00:00+00:00,13.214655303000162,-16.39736200099992,22.599113
0,1950-01-01 00:00:00+00:00,13.244655303000162,-16.39736200099992,24.119291
0,1950-01-01 00:00:00+00:00,13.27465530300016,-16.39736200099992,23.821522
0,1950-01-01 00:00:00+00:00,13.30465530300016,-16.39736200099992,23.84752
0,1950-01-01 00:00:00+00:00,13.33465530300016,-16.39736200099992,23.79552
0,1950-01-01 00:00:00+00:00,13.36465530300016,-16.39736200099992,23.665522
0,1950-01-01 00:00:00+00:00,13.394655303000158,-16.39736200099992,23.724022
0,1950-01-01 00:00:00+00:00,13.424655303000158,-16.39736200099992,23.580647
0,1950-01-01 00:00:00+00:00,13.454655303000155,-16.39736200099992,23.559544
0,1950-01-01 00:00:00+00:00,13.484655303000157,-16.39736200099992,23.520544
0,1950-01-01 00:00:00+00:00,13.514655303000156,-16.39736200099992,23.585543
0,1950-01-01 00:00:00+00:00,13.544655303000155,-16.39736200099992,23.488043
0,1950-01-01 00:00:00+00:00,13.574655303000156,-16.39736200099992,23.58389
0,1950-01-01 00:00:00+00:00,13.184655303000165,-16.36736200099992,22.547113
0,1950-01-01 00:00:00+00:00,13.214655303000162,-16.36736200099992,22.605614
0,1950-01-01 00:00:00+00:00,13.244655303000162,-16.36736200099992,24.112791
0,1950-01-01 00:00:00+00:00,13.27465530300016,-16.36736200099992,23.84752
0,1950-01-01 00:00:00+00:00,13.30465530300016,-16.36736200099992,23.84752
0,1950-01-01 00:00:00+00:00,13.33465530300016,-16.36736200099992,23.84752
0,1950-01-01 00:00:00+00:00,13.36465530300016,-16.36736200099992,23.626522
0,1950-01-01 00:00:00+00:00,13.394655303000158,-16.36736200099992,23.678522
0,1950-01-01 00:00:00+00:00,13.424655303000158,-16.36736200099992,23.489647
0,1950-01-01 00:00:00+00:00,13.454655303000155,-16.36736200099992,23.566044
0,1950-01-01 00:00:00+00:00,13.484655303000157,-16.36736200099992,23.520544
